AUTHORITY,Total High,Total Medium,Total Low,Total Very Low,Total at Risk
Sunderland,187,129,458,5,779
Surrey,10992,11776,34978,6132,63878
Sutton,496,484,2862,64,3906
Swindon,644,270,1362,181,2457
Tameside,630,260,1383,0,2273
Telford and Wrekin,229,124,323,11,687
Thurrock,209,269,1198,13800,15476
Torbay,918,930,1177,498,3523
Tower Hamlets,1200,94,135,30168,31597
Trafford,512,366,2225,1916,5019
Wakefield,1098,1340,6508,1469,10415
Walsall,296,287,1374,0,1957
Waltham Forest,1016,1467,3891,1192,7566
Wandsworth,252,2032,7921,22346,32551
Warrington,1224,1705,10119,388,13436
Warwickshire,3332,1962,6384,812,12490
West Berkshire,1127,1132,3902,181,6342
West Northamptonshire,2118,463,4164,1567,8312
West Sussex,7316,3586,16134,6161,33197
Westminster,2,0,0,18489,18491
Westmorland and Furness,4682,2722,7198,2138,16740
Wigan,1888,1118,5461,482,8949
Wiltshire,2211,2660,6122,135,11128
Windsor and Maidenhead,2858,3803,11777,2654,21092
Wirral,202,84,717,6183,7186
Wokingham,972,510,1917,0,3399
Wolverhampton,259,917,518,0,1694
Worcestershire,4593,2469,5001,311,12374
York,1556,3159,5071,1239,11025
TOTAL,366879,323709,966028,777207,2433823
